order	status	file	language	loc	authority_risk_score	migration_potential_score	concept_opportunity_score	priority_score
146	done	core/layer0/ops/src/strategy_store_kernel_parts/030-normalize-queue-item.rs	rs	447	5	1	3	3.4
147	done	core/layer0/ops/src/conduit_client_security_kernel.rs	rs	446	5	1	3	3.4
148	done	core/layer0/ops/src/protheusctl_tests_parts/020-core-shortcut-routes-enterprise-moat-license.rs	rs	446	5	1	3	3.4
149	done	core/layer0/ops/tests/v6_security_hardening_integration_parts/010-fixtures-and-helpers.rs	rs	446	5	1	3	3.4
150	done	core/layer0/ops/src/protheusctl_tests_parts/050-core-shortcut-routes-observability-monitor.rs	rs	445	5	1	3	3.4
151	done	core/layer0/ops/src/autonomy_controller_parts/040-command-dispatch.rs	rs	444	5	1	3	3.4
152	done	core/layer0/ops/src/llamaindex_bridge_parts/010-usage.rs	rs	444	5	1	3	3.4
153	done	core/layer0/ops/src/memory/stacks/040-operations.rs	rs	444	5	1	3	3.4
154	done	core/layer0/ops/src/operator_tooling_kernel_parts/040_spawn.rs	rs	443	5	1	3	3.4
155	done	core/layer0/ops/src/protheusctl_tests_parts/030-core-shortcut-routes-parse-export.rs	rs	443	5	1	3	3.4
156	done	core/layer0/ops/src/secret_broker_kernel_parts/010-secret-broker-state.rs	rs	442	5	1	3	3.4
157	done	core/layer0/ops/src/haystack_bridge_parts/020-doc-token-set.rs	rs	441	5	1	3	3.4
158	done	core/layer0/ops/src/llamaindex_bridge_parts/020-query-index.rs	rs	441	5	1	3	3.4
159	done	core/layer0/ops/src/mastra_bridge_parts/030-execute-graph.rs	rs	441	5	1	3	3.4
160	done	core/layer0/ops/src/model_router_parts/010-receipt-hash.rs	rs	439	5	1	3	3.4
161	done	core/layer0/ops/src/model_router_parts/070-router-burn-oracle-signal.rs	rs	439	5	1	3	3.4
162	done	core/layer0/ops/tests/v9_swarm_runtime_integration_parts/030-persistent-lifecycle-tests.rs	rs	438	5	1	3	3.4
163	done	core/layer0/ops/src/autotest_controller_parts/020-runtime-paths.rs	rs	437	5	1	3	3.4
164	done	core/layer0/ops/src/google_adk_bridge_parts/030-run-llm-agent.rs	rs	437	5	1	3	3.4
165	done	core/layer0/ops/src/pydantic_ai_bridge_parts/030-run-llm-agent.rs	rs	437	5	1	3	3.4
166	done	core/layer0/ops/src/shannon_bridge_parts/020-guard-budget.rs	rs	437	5	1	3	3.4
167	done	core/layer2/execution/src/autoscale_parts/340-compute-policy-hold-latest-event.rs	rs	437	5	1	3	3.4
168	done	core/layer0/ops/src/model_router_parts/080-route-class-policy.rs	rs	433	5	1	3	3.4
169	done	core/layer0/ops/src/memory_ambient_parts/010-usage.rs	rs	432	5	1	3	3.4
170	done	core/layer0/ops/src/runtime_system_contracts_parts/030-inferred-family-for.rs	rs	432	5	1	3	3.4
171	done	core/layer0/ops/src/semantic_kernel_bridge_parts/010-usage.rs	rs	431	5	1	3	3.4
172	done	core/layer0/ops/src/dspy_bridge_parts/010-usage.rs	rs	430	5	1	3	3.4
173	done	core/layer0/ops/src/swarm_runtime_parts/040-active-thorn-cell-ids.rs	rs	428	5	1	3	3.4
174	done	core/layer0/ops/src/backlog_executor_evidence_anchor.rs	rs	426	5	1	3	3.4
175	done	core/layer0/ops/src/health_status_parts/010-receipt-hash.rs	rs	426	5	1	3	3.4
176	done	core/layer0/ops/src/security_plane_parts/055-run-openshell-runtime-command.rs	rs	426	5	1	3	3.4
177	done	core/layer0/ops/src/child_organ_runtime.rs	rs	425	5	1	3	3.4
178	done	core/layer0/ops/src/runtime_system_contracts_parts/020-contract-id-catalog.rs	rs	425	5	1	3	3.4
179	done	core/layer0/ops/src/semantic_kernel_bridge_parts/020-register-service.rs	rs	425	5	1	3	3.4
180	done	core/layer0/ops/src/semantic_kernel_bridge_parts/030-register-vector-connector.rs	rs	425	5	1	3	3.4
181	done	core/layer0/ops/src/swarm_runtime_parts/050-verify-session-reachable.rs	rs	424	5	1	3	3.4
182	done	core/layer0/ops/src/model_router_parts/030-run.rs	rs	423	5	1	3	3.4
183	done	core/layer0/ops/src/substrate_plane_parts/030-run-csi-policy.rs	rs	423	5	1	3	3.4
184	done	core/layer0/ops/src/swarm_runtime_parts/130-sessions-terminate.rs	rs	423	5	1	3	3.4
185	done	core/layer2/execution/src/decompose_parts/040-build-queue-rows.rs	rs	423	5	1	3	3.4
186	done	core/layer2/stomach/src/quarantine.rs	rs	423	5	1	3	3.4
187	done	core/layer0/ops/src/runtime_systems_parts/070-execute-integration-lakehouse-contract.rs	rs	421	5	1	3	3.4
188	done	core/layer2/tooling/src/client_adapter.rs	rs	419	5	1	3	3.4
189	done	core/layer0/ops/src/flow_plane_parts/030-export-and-template-governance.rs	rs	417	5	1	3	3.4
190	done	core/layer0/ops/src/runtime_systems_parts/060-execute-execution-streaming-contract.rs	rs	415	5	1	3	3.4
191	done	core/layer0/ops/src/dashboard_provider_runtime_parts/035-model-metadata-research.rs	rs	414	5	1	3	3.4
192	done	core/layer0/ops/src/google_adk_bridge_parts/040-approval-checkpoint.rs	rs	414	5	1	3	3.4
193	done	core/layer0/ops/src/strategy_resolver_parts/030-resolve-ranking-context.rs	rs	413	5	1	3	3.4
194	done	core/layer0/ops/src/intelligence_nexus_keys.rs	rs	412	5	1	3	3.4
195	done	core/layer2/conduit/src/lib_parts/command_dispatch_tests_parts/030-stdio-roundtrip-returns-json-response.rs	rs	412	5	1	3	3.4
196	done	core/layer0/ops/src/shannon_bridge_parts/010-usage.rs	rs	410	5	1	3	3.4
197	done	core/layer0/ops/src/crewai_bridge_parts/010-usage.rs	rs	409	5	1	3	3.4
198	done	core/layer0/ops/src/security_plane_parts/020-run-skill-quarantine-command.rs	rs	407	5	1	3	3.4
199	done	core/layer0/ops/src/assimilation_controller_parts/010-receipt-hash.rs	rs	406	5	1	3	3.4
200	done	core/layer2/conduit/src/lib_parts/command_dispatch_tests_parts/020-guard-registry-parser-handles-valid-and-invalid-rows.rs	rs	406	5	1	3	3.4
201	done	core/layer0/ops/src/haystack_bridge_parts/030-retrieve-documents.rs	rs	405	5	1	3	3.4
202	done	core/layer0/ops/src/memory_ambient_parts/040-run.rs	rs	405	5	1	3	3.4
203	done	core/layer0/ops/src/training_conduit_schema_kernel_parts/020-normalize-delete-key.rs	rs	405	5	1	3	3.4
204	done	core/layer0/ops/src/assimilation_controller_parts/050-has-claim.rs	rs	403	5	1	3	3.4
205	done	core/layer0/ops/src/memory_plane.rs	rs	403	5	1	3	3.4
206	done	core/layer2/nexus/src/tests.rs	rs	403	5	1	3	3.4
207	done	core/layer0/ops/src/substrate_plane_parts/050-run-bioethics-policy.rs	rs	402	5	1	3	3.4
208	done	core/layer0/ops/tests/v6_memory_batch22_integration.rs	rs	402	5	1	3	3.4
209	done	core/layer2/ops/src/workspace_gateway_runtime_parts/020-task-state-and-receipts.rs	rs	400	5	1	3	3.4
210	done	core/layer0/ops/src/mastra_bridge_parts/020-allowed-tool-kind.rs	rs	398	5	1	3	3.4
211	done	core/layer2/memory/src/schemas.rs	rs	398	5	1	3	3.4
212	done	core/layer0/ops/src/dashboard_agent_state_registry_tests.rs	rs	397	5	1	3	3.4
213	done	core/layer0/ops/src/swarm_runtime_parts/110-spawn-single.rs	rs	397	5	1	3	3.4
214	done	core/layer0/ops/src/tool_output_match_filter.rs	rs	397	5	1	3	3.4
215	done	core/layer0/ops/src/attention_queue_parts/030-load-cursor-state.rs	rs	396	5	1	3	3.4
216	done	core/layer0/ops/src/operator_tooling_kernel_parts/010_prelude.rs	rs	396	5	1	3	3.4
217	done	core/layer0/ops/src/runtime_systems_parts/110-merge-payload.rs	rs	396	5	1	3	3.4
218	done	core/layer2/execution/src/decompose_parts/050-evaluate-route.rs	rs	396	5	1	3	3.4
219	done	core/layer0/ops/src/pydantic_ai_bridge_parts/020-approval-status-from-queue.rs	rs	395	5	1	3	3.4
220	done	core/layer0/ops/src/metakernel_parts/040-run-quantum-broker.rs	rs	394	5	1	3	3.4
221	done	core/layer2/conduit/tests/daemon_runtime.rs	rs	393	5	1	3	3.4
222	done	core/layer0/ops/src/memory/stacks/045-run.rs	rs	391	5	1	3	3.4
223	done	core/layer0/ops/src/operator_tooling_kernel_parts/060_entry_tests.rs	rs	390	5	1	3	3.4
224	done	core/layer0/ops/src/runtime_systems_parts/050-execute-generic-family-contract.rs	rs	390	5	1	3	3.4
225	done	core/layer2/conduit-security/src/lib.rs	rs	390	5	1	3	3.4
226	done	core/layer0/ops/src/hardware_route_hardening.rs	rs	382	5	1	3	3.4
227	done	core/layer0/ops/src/mcp_plane_parts/020-run-workflow-runtime.rs	rs	382	5	1	3	3.4
228	done	core/layer0/ops/src/graph_toolkit/algorithms.rs	rs	381	5	1	3	3.4
